imdbId,movie_title,title_year,releaseDate,genres,writers,director_name,sequel,hitFlop,actor_1_name,actor_2_name,actor_3_name,actor_4_name
tt1538210,Aao Wish Karein,2009,13-Nov-09,Comedy | Drama | Fantasy,Glen Barreto (additional screenplay) | Ravinder Manga (dialogue) | Ravinder Manga (story) | Aftab Shivdasani (story),Glen Barreto,0,1,Aftab Shivdasani , Aamna Shariff , Rati Agnihotri , Tiku Talsania
tt1558578,Knock Out,2010,15-Oct-10,Action | Crime | Drama,Shiraz Ahmed (dialogue) | Vishal Dadlani (lyrics) | Panchhi Jalonvi (lyrics) | Mani Shankar (story) | Shellee (lyrics),Mani Shankar,0,1,Sanjay Dutt , Irrfan Khan , Kangana Ranaut , Gulshan Grover
tt1562361,Let's Dance,2009,19-Jun-09,Crime | Drama | Musical,Muazzam Beg (story) | Sibtain Shahidi (screenplay),Aarif Sheikh,0,1,Gayatri Patel Bahl , Aqib Afzaal , Ajay Chaudhary , Aabhas Yadav
tt1562859,Golmaal 3,2010,05-Nov-10,Action | Comedy,Robin Bhatt (script consultant) | Farhad (dialogue) | Bunty Rathore (additional dialogue) | Yunus Sajawal (screenplay) | Sajid (dialogue),Rohit Shetty,1,8,Mithun Chakraborty , Ajay Devgn , Kareena Kapoor , Tusshar Kapoor
tt1562871,Ra.One,2011,26-Oct-11,Action | Adventure | Sci-Fi,David Benullo | Kanika Dhillon (dialogue) | Kanika Dhillon (screenplay) | Niranjan Iyengar (dialogue) | Shah Rukh Khan (screenplay) | Mushtaq Sheikh (screenplay) | Anubhav Sinha (story),Anubhav Sinha,0,6,Arjun Rampal , Shah Rukh Khan , Kareena Kapoor , Shahana Goswami
tt1562872,Zindagi Na Milegi Dobara,2011,15-Jul-11,Adventure | Comedy | Drama,Farhan Akhtar (dialogue) | Zoya Akhtar (story) | Zoya Akhtar | Reema Kagti (story),Zoya Akhtar,0,6,Katrina Kaif , Hrithik Roshan , Naseeruddin Shah , Farhan Akhtar
tt1569529,"U, Bomsi n Me",2005,21-Oct-05,Comedy,Jairaj Padmanabhan,Jairaj Padmanabhan,0,1,Bobby Bahal , Kenny Desai , Vivek Madan , Vidya Malvade
tt1570417,Accident on Hill Road,2010,31-Dec-09,Crime | Drama | Thriller,Varun Grover (dialogues) | Rahul Mehta (dialogues) | Mahesh Nair (screenplay) | Sandeep Nath (lyrics) | Siddhaarth Parmar (screenplay),Mahesh Nair,0,1,Farooq Shaikh , Celina Jaitly , Abhimanyu Singh , Rukhsar
tt1572311,Tees Maar Khan,2010,24-Dec-10,Comedy | Crime | Drama,Vishal Dadlani (lyrics) | Anvita Dutt Guptan (lyrics) | Ashmith Kunder (screenplay) | Shirish Kunder (dialogue) | Shirish Kunder (screenplay) | Shirish Kunder (story),Farah Khan,0,5,Katrina Kaif , Salman Khan , Akshay Kumar , Farah Khan
tt1573072,Housefull,2010,30-Apr-10,Comedy,Anvita Dutt Guptan (dialogues) | Sajid Khan (screenplay) | Sajid Nadiadwala (story) | Sameer (lyrics) | Vibha Singh (screenplay) | Milap Zaveri (screenplay),Sajid Khan,0,6,Akshay Kumar , Arjun Rampal , Deepika Padukone , Lara Dutta
tt1573482,Striker,2010,05-Feb-10,Crime | Drama,Sunita Rajwar (story) | Iqbal Merchant (story) | Chandan Arora (screenplay) | Sunita Rajwar (screenplay) | Sagar Kapoor (dialogues) | Vijay Maurya (dialogues) | Pankaj Saraswat (dialogues) | Nitin Raikwar (lyrics) | Jeetendra Joshi (lyrics) | Prashant Ingole (lyrics),Chandan Arora,0,1,Siddharth , Ankur Vikal , Anupam Kher , Vidya Malvade
tt1578116,Atithi Tum Kab Jaoge?,2010,05-Mar-10,Comedy | Drama,Robin Bhatt (screenplay) | Ashwani Dhir | Tushar Hiranandani (screenplay) | Amit Mishra (lyrics),Ashwani Dhir,0,4,Ajay Devgn , Konkona Sen Sharma , Paresh Rawal , Satish Kaushik
